"","gene1","gene2","p.value","q.value"
"422","TP53","MYCN",0.000114022521049882,0.00658298566927096
"223","PPP2R1A","DDX3X",0.000117592359891602,0.00676621109716393
"127","NFE2L2","CHD4",0.000119226520602893,0.00688991767707711
"415","TP53","MSH2",0.000119937558006386,0.00690340991315997
"316","PPP2R1A","HUWE1",0.000121129102205609,0.00698846610795254
"206","SPOP","CTNNB1",0.000121624425212941,0.00699965680327708
"8","PGR","ACVR1B",0.000124201398262069,0.00712500932186495
"106","ERBB2","CCND1",0.000126319272732417,0.00724415716252804
"364","NOTCH1","KRAS",0.000130892557204418,0.00749859956893382
"375","RNF43","KRAS",0.000132024627296954,0.0075353919468604
"475","TP53","PLCG1",0.000132410715858717,0.0075378037278543
"310","TP53","GNAQ",0.00013628535290348,0.00768640454756615
"33","CTNNB1","AMER1",0.000137117222033654,0.00770926367883248
"65","PPP2R1A","ATM",0.000138142187485899,0.00774127001348091
"214","KRAS","CTNND1",0.000140451834024142,0.00783366144585024
"76","CTNNB1","AXIN2",0.000144535261958954,0.00813915072998566
"469","SPOP","PIK3R1",0.000145445132039972,0.00818021762995417
"188","NCOR1","CTNNB1",0.000145664874246644,0.00818021762995417
"48","CTNNB1","ARHGAP35",0.000150011261000511,0.00847467609396228
"393","PPP2R1A","MAP2K4",0.000150178581033934,0.00847576971802078
"166","FAT1","CTNNB1",0.000154823090300909,0.00877692760884451
"94","PPP2R1A","BRCA2",0.000160904172816462,0.00912412196447717
"403","SPOP","MECOM",0.000164385398673211,0.00917456167740219
"376","SIN3A","KRAS",0.000164636013368811,0.00917456167740219
"306","TP53","GABRA6",0.000165678290686408,0.00920507690919613
"476","PPP2R1A","PLXNB2",0.000167854788044915,0.00931735887003178
"380","SPTAN1","KRAS",0.000174358559617103,0.00968259379601639
"35","PPP2R1A","AMER1",0.00017569395381247,0.00974452669686339
"2","PPP2R1A","ABL1",0.000179184772316804,0.00986964427827901
"550","TP53","SF1",0.00018304471195973,0.0100278821473642
"526","SPOP","PTEN",0.000186871287898859,0.0102334959103617
"508","SPTAN1","PPP2R1A",0.000190645548071075,0.0104591032758847
"234","PPP2R1A","DNMT3A",0.000191531492312523,0.0104995817963736
"99","KRAS","CARD11",0.000195798795880849,0.0106930576746389
"244","KRAS","EP300",0.000198884293996527,0.0109266095974709
"534","TP53","RBM10",0.00020286040609214,0.0111456496417514
"283","PIK3CA","FGFR2",0.000211380239861332,0.0115800249991554
"221","PPP2R1A","DACH1",0.000213149987415279,0.0116623860673343
"262","PPP2R1A","ESR1",0.000213149987415279,0.0116623860673343
"274","SPOP","FBXW7",0.000213624932635168,0.0116623860673343
"49","KRAS","ARHGAP35",0.000214110361834744,0.0116857650740977
"187","MYC","CTNNB1",0.000220672298256194,0.0119568121970989
"113","SIN3A","CCND1",0.000225865460722739,0.0121655048105505
"273","PTEN","FBXW7",0.000226856565488688,0.0121800447259234
"180","LZTR1","CTNNB1",0.000229623026654917,0.0123094639725123
"69","PPP2R1A","ATR",0.000235521151936448,0.0126098091940734
"452","PPP2R1A","PDS5B",0.000235521151936448,0.0126098091940734
"164","ERBB2","CTNNB1",0.000235847541946101,0.0126098091940734
"339","SOX17","KIF1A",0.000237040917005511,0.0127383150760384
"257","PPP2R1A","ERBB3",0.000239257873221264,0.0128083542292907
"242","TP53","EGR3",0.000239342213617226,0.0128083542292907
"26","SOX17","AKT1",0.000239957741593795,0.012851076861772
"538","SOX17","RHOA",0.000239957741593795,0.012851076861772
"462","SPOP","PIK3CA",0.000246089238818979,0.0130067189698825
"477","SPOP","PLXNB2",0.000246260506395099,0.0130067189698825
"160","DHX9","CTNNB1",0.000246837498143628,0.0130067189698825
"305","TP53","FUBP1",0.000246862809707669,0.0130067189698825
"114","SOX17","CCND1",0.000249244622384117,0.0130682095618262
"368","PIK3R1","KRAS",0.000253115045682806,0.0132542011603948
"513","TET2","PPP2R1A",0.00025415204626356,0.0133119988317115
"9","PPP2R1A","ACVR1B",0.00026610062726374,0.0138341399830301
"205","SMARCA4","CTNNB1",0.000266379545645385,0.0138341399830301
"207","SPTAN1","CTNNB1",0.000266379545645385,0.0138341399830301
"224","SOX17","DDX3X",0.000267647864003227,0.0138426691716941
"111","RB1","CCND1",0.00026836718492669,0.0138426691716941
"79","TP53","B2M",0.000268608338815787,0.0138426691716941
"295","TP53","FOXA1",0.000271260491738212,0.0139245488665936
"374","PTPRD","KRAS",0.00027567791371929,0.0141440877373476
"430","SOX17","NFE2L2",0.000278381393669097,0.014249047931168
"386","PPP2R1A","LATS2",0.000283005497709908,0.0144526961199518
"479","TP53","PMS1",0.00028369637698447,0.0144837486868542
"344","PPP2R1A","KMT2A",0.000284942186136608,0.0144837486868542
"412","SPOP","MLH1",0.000285507624625663,0.0144837486868542
"192","NUP93","CTNNB1",0.000286063677200912,0.0144837486868542
